# m=0, S=4
4.13819 0.0383533
4.1608 0.0410237
4.18342 0.0424857
4.20603 0.0426917
4.22864 0.0415974
4.25126 0.0391618
4.27387 0.0353471
4.29648 0.0301189
4.3191 0.0234459
4.34171 0.0153004
4.36432 0.00565759
4.38693 -0.00550376
4.40955 -0.0182017
4.43216 -0.032451
4.45477 -0.0482633
4.47739 -0.0656465
4.5 -0.0846058
